City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Bethel,US,2022-10-18 00:28:19,41.3712,-73.414,60.69,85,100,3.44
212,Bima,ID,2022-10-18 00:29:31,-8.4667,118.7167,84.54,69,100,3.06
213,Hay River,CA,2022-10-18 00:28:34,60.8156,-115.7999,58.98,44,20,6.91
214,Hualmay,PE,2022-10-18 00:29:31,-11.0964,-77.6139,63.01,78,37,10.47
215,Kavaratti,IN,2022-10-18 00:29:32,10.5669,72.642,77.59,92,100,18.14
216,Sanghar,PK,2022-10-18 00:29:32,26.0466,68.9481,76.95,27,0,6.38
217,Saskylakh,RU,2022-10-18 00:29:32,71.9167,114.0833,-0.94,100,90,4.21
218,Matagami,CA,2022-10-18 00:29:17,49.7502,-77.6328,42.91,93,100,6.91
219,Grand-Lahou,CI,2022-10-18 00:29:33,5.1367,-5.0242,76.89,88,88,4.18
220,Faya,SA,2022-10-18 00:29:33,18.3851,42.4509,59.11,29,33,4.21
221,Port Hedland,AU,2022-10-18 00:29:20,-20.3167,118.5667,80.65,18,13,20.71
222,Caravelas,BR,2022-10-18 00:29:34,-17.7125,-39.2481,74.17,82,5,7.02
223,Krasnyy Chikoy,RU,2022-10-18 00:29:34,50.3643,108.7512,24.55,47,27,3.58
224,Mehamn,NO,2022-10-18 00:30:34,71.0357,27.8492,40.95,87,75,20.71
225,Norman Wells,CA,2022-10-18 00:27:55,65.282,-126.8329,35.64,87,75,11.5
226,Hobart,AU,2022-10-18 00:27:01,-42.8794,147.3294,60.26,64,100,9.22
227,Codrington,AU,2022-10-18 00:30:35,-38.2667,141.9667,63.12,63,100,5.5
228,Mandalgovi,MN,2022-10-18 00:30:35,45.7625,106.2708,36.97,21,0,6.6
229,Tazmalt,DZ,2022-10-18 00:30:36,36.3868,4.3989,76.05,44,12,1.63
230,Saint-Francois,FR,2022-10-18 00:29:31,46.4154,3.9054,63.84,72,0,1.14
231,Tiksi,RU,2022-10-18 00:30:36,71.6872,128.8694,11.37,87,95,14.88
232,Xining,CN,2022-10-18 00:30:36,36.6167,101.7667,41.92,42,5,2.37
233,Galle,LK,2022-10-18 00:30:37,6.0367,80.217,76.37,90,100,7.2
234,Baiyin,CN,2022-10-18 00:30:37,36.5583,104.2081,50.63,28,0,2.48
235,Mogadishu,SO,2022-10-18 00:30:38,2.0371,45.3438,77.22,83,39,9.15
236,Kocevje,SI,2022-10-18 00:30:38,45.6433,14.8633,54.57,93,53,1.03
237,Clyde River,CA,2022-10-18 00:30:38,70.4692,-68.5914,25.03,93,100,10.36
238,Kamaishi,JP,2022-10-18 00:30:39,39.2667,141.8833,55.94,54,100,6.71
239,Bambous Virieux,MU,2022-10-18 00:30:39,-20.3428,57.7575,66.22,69,18,10.36
240,Las Juntas,MX,2022-10-18 00:30:39,19.4167,-104.7,80.13,97,100,1.79
241,Savannah Bight,HN,2022-10-18 00:30:40,16.45,-85.85,83.95,76,84,17.4
242,Gawler,AU,2022-10-18 00:30:40,-34.6,138.7333,65.71,82,100,11.7
